id;code;description;value
1;interface;Toys;overriding
2;internet solution;Total;Investment Account Indian Rupee
3;withdrawal Club Nebraska;Nevada quantify architectures;empower
4;customized payment;Grass-roots Cambridgeshire;Personal Loan Account
5;Music;Pants;Avon
6;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent
7;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing
8;silver;system;Buckinghamshire
9;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications
10;Montenegro;frictionless;Rubber Awesome Frozen Mouse
